book_id,n_reviews,rating_medio,rating_mediano,n_usuarios,n_votes,n_comments,word_count_medio
13497818,4,1.5,1.0,4,0,0,38.5
23395680,4,4.75,5.0,4,21,0,156.75
9284655,4,4.25,4.5,4,2,0,57.25
66559,4,3.0,3.5,4,1,0,95.5
18007564,4,4.75,5.0,4,1,0,39.25
20572939,4,4.25,4.5,4,0,0,70.5
29044,4,4.75,5.0,4,0,0,62.25
37435,4,4.75,5.0,4,0,0,43.0
4214,4,3.5,3.5,4,10,3,117.25
22609310,4,4.0,4.0,4,1,0,27.25
29069989,4,2.75,3.0,4,2,2,655.0
42899,4,3.0,3.0,4,0,0,111.0
20443207,4,4.5,4.5,4,0,0,59.75
17212231,4,3.25,3.5,4,1,1,252.0
6837103,4,4.25,4.5,4,0,0,37.0
14201,4,3.75,4.0,4,0,0,48.25
6936382,3,4.333333333333333,5.0,3,1,0,224.66666666666666
8755776,3,4.666666666666667,5.0,3,7,2,82.66666666666667
21969786,3,4.333333333333333,4.0,3,0,0,28.0
14061955,3,3.0,3.0,3,38,26,246.0
13928,3,4.333333333333333,5.0,3,0,0,72.33333333333333
28114515,3,2.6666666666666665,2.0,3,0,0,87.0
28186,3,4.666666666666667,5.0,3,1102,34,30.666666666666668
5886881,3,4.0,4.0,3,1,0,98.0
18798983,3,3.3333333333333335,4.0,3,7,0,31.666666666666668
3153910,3,4.0,4.0,3,0,0,26.333333333333332
10866233,3,3.6666666666666665,4.0,3,0,0,105.33333333333333
567678,3,2.3333333333333335,2.0,3,86,7,137.66666666666666
20910157,3,4.333333333333333,4.0,3,2,1,41.333333333333336
10569,3,5.0,5.0,3,1,2,21.333333333333332
6853,3,4.333333333333333,4.0,3,0,0,28.0
6752378,3,4.0,4.0,3,0,0,177.66666666666666
11486,3,5.0,5.0,3,1,0,27.333333333333332
7619057,3,5.0,5.0,3,0,0,116.0
556602,3,4.0,4.0,3,0,0,18.666666666666668
7613,3,3.6666666666666665,4.0,3,29,2,47.0
6604794,3,3.3333333333333335,3.0,3,0,0,66.0
9591398,3,3.6666666666666665,4.0,3,8,4,280.0
561456,3,4.0,4.0,3,0,0,179.0
662,3,2.3333333333333335,2.0,3,0,0,44.0
13055592,3,3.6666666666666665,4.0,3,6,0,77.33333333333333
5907,3,4.333333333333333,4.0,3,0,0,24.333333333333332
13060734,3,3.3333333333333335,4.0,3,2,0,323.3333333333333
13526165,3,4.0,4.0,3,2,0,29.666666666666668
1582996,3,4.0,5.0,3,0,0,72.66666666666667
28187230,3,3.3333333333333335,3.0,3,0,0,90.0
15717943,3,3.6666666666666665,3.0,3,0,0,9.666666666666666
2,3,4.666666666666667,5.0,3,2,0,54.666666666666664
9369720,3,3.3333333333333335,4.0,3,0,0,90.33333333333333
711901,3,3.3333333333333335,3.0,3,0,3,232.66666666666666
28458598,3,4.0,4.0,3,1,0,70.66666666666667
19351043,3,4.666666666666667,5.0,3,2,0,83.66666666666667
6288,3,3.6666666666666665,4.0,3,0,0,75.66666666666667
21480930,3,4.333333333333333,4.0,3,1,0,138.66666666666666
10964693,3,3.0,3.0,3,0,0,138.0
6366437,3,3.3333333333333335,3.0,3,0,1,223.66666666666666
15703770,3,3.6666666666666665,5.0,3,9,0,56.666666666666664
6314763,3,4.666666666666667,5.0,3,0,2,141.0
6320534,3,4.666666666666667,5.0,3,0,0,142.33333333333334
6323104,3,3.3333333333333335,4.0,3,8,0,128.66666666666666
2153405,3,4.666666666666667,5.0,3,0,0,71.66666666666667
28763485,3,3.6666666666666665,3.0,3,2,1,195.66666666666666
13496,3,5.0,5.0,3,0,1,72.66666666666667
9275658,3,4.333333333333333,5.0,3,0,3,81.33333333333333
5996153,3,4.666666666666667,5.0,3,4,0,114.66666666666667
18816603,3,4.0,4.0,3,0,0,53.333333333333336
6327,3,4.333333333333333,5.0,3,0,0,56.0
1885,3,5.0,5.0,3,0,0,137.66666666666666
7331435,3,3.3333333333333335,3.0,3,0,0,366.6666666666667
13519397,3,3.6666666666666665,4.0,3,2,0,144.66666666666666
6493208,3,4.333333333333333,4.0,3,0,0,53.0
310258,3,4.666666666666667,5.0,3,1,0,27.333333333333332
15760001,3,4.333333333333333,5.0,3,2,2,417.0
13188676,3,4.666666666666667,5.0,3,0,0,131.33333333333334
6487308,3,2.6666666666666665,2.0,3,2,4,240.33333333333334
11381643,3,4.0,4.0,3,0,0,141.0
23734628,3,4.0,4.0,3,16,0,39.333333333333336
6482837,3,3.3333333333333335,4.0,3,0,1,17.333333333333332
30724132,3,4.666666666666667,5.0,3,0,0,107.0
5364,3,4.666666666666667,5.0,3,0,0,157.33333333333334
6381205,3,3.3333333333333335,4.0,3,4,2,289.0
17167166,3,4.333333333333333,4.0,3,0,0,66.33333333333333
37470,3,4.333333333333333,5.0,3,0,1,36.666666666666664
1162543,3,1.6666666666666667,1.0,3,0,0,22.0
16304,3,4.0,4.0,3,2,0,103.0
480479,3,3.3333333333333335,4.0,3,0,0,172.0
4836308,3,3.3333333333333335,3.0,3,0,0,103.66666666666667
8662836,3,3.6666666666666665,4.0,3,0,0,85.0
375802,3,4.0,4.0,3,0,0,70.33333333333333
37380,3,3.3333333333333335,4.0,3,0,0,90.33333333333333
1656001,3,3.6666666666666665,4.0,3,0,0,311.0
48855,3,5.0,5.0,3,1,0,32.333333333333336
16278318,3,3.0,3.0,3,1,2,37.0
11588,3,4.333333333333333,5.0,3,6,0,102.0
100915,3,4.666666666666667,5.0,3,0,0,31.666666666666668
9680718,3,4.0,4.0,3,6,0,134.66666666666666
968,3,3.0,3.0,3,1,5,33.666666666666664
18302455,3,3.6666666666666665,4.0,3,0,0,35.666666666666664
38709,3,5.0,5.0,3,2,0,272.3333333333333
18460392,3,3.3333333333333335,3.0,3,4,0,92.0
2255,3,3.0,3.0,3,1,0,23.0
12368985,3,4.666666666666667,5.0,3,1,0,65.66666666666667
2623,3,5.0,5.0,3,0,0,107.66666666666667
17314430,3,4.333333333333333,4.0,3,1,0,49.333333333333336
17333223,3,4.0,4.0,3,3,1,133.66666666666666
243705,3,3.3333333333333335,3.0,3,14,0,115.33333333333333
22822858,3,4.666666666666667,5.0,3,4,1,103.66666666666667
2318271,3,3.3333333333333335,4.0,3,7,2,188.0
22489107,3,4.333333333333333,4.0,3,8,0,38.333333333333336
22544764,3,5.0,5.0,3,3,0,280.0
231804,3,4.666666666666667,5.0,3,1,0,34.666666666666664
4588,3,4.333333333333333,4.0,3,1,0,66.66666666666667
830502,3,4.333333333333333,5.0,3,4,1,97.33333333333333
18006496,3,5.0,5.0,3,10,4,256.3333333333333
7905092,3,4.666666666666667,5.0,3,2,1,35.666666666666664
12000020,3,4.333333333333333,5.0,3,5,1,145.66666666666666
37442,3,2.6666666666666665,3.0,3,0,0,110.66666666666667
5246,3,3.6666666666666665,4.0,3,0,0,32.666666666666664
3591262,3,4.0,4.0,3,1,0,180.0
8709527,3,4.333333333333333,4.0,3,1,0,481.3333333333333
16099180,3,3.3333333333333335,4.0,3,0,0,136.33333333333334
77203,3,4.0,5.0,3,1,0,42.666666666666664
8709524,3,5.0,5.0,3,0,0,83.66666666666667
17788401,3,4.0,4.0,3,12,0,113.33333333333333
35729,3,4.666666666666667,5.0,3,2,0,53.0
10507293,3,4.0,4.0,3,2,0,67.33333333333333
16102004,3,2.3333333333333335,2.0,3,2,0,91.33333333333333
52529,3,2.6666666666666665,2.0,3,0,0,69.0
357664,3,3.0,3.0,3,0,2,69.33333333333333
12954620,3,4.333333333333333,4.0,3,1,0,346.6666666666667
8706185,3,4.0,4.0,3,0,0,120.33333333333333
22205,3,4.333333333333333,4.0,3,0,0,93.66666666666667
18498558,3,4.666666666666667,5.0,3,3,0,233.66666666666666
1232,3,3.6666666666666665,4.0,3,6,0,93.0
5161066,3,3.6666666666666665,4.0,3,0,0,118.0
17878931,3,4.0,4.0,3,1,0,63.0
2728527,3,4.333333333333333,4.0,3,1,0,71.33333333333333
13523061,2,4.5,4.5,2,1,0,103.5
13496084,2,5.0,5.0,2,2,0,25.0
20926278,2,3.5,3.5,2,5,0,229.5
11947829,2,4.0,4.0,2,0,0,66.5
13486632,2,4.0,4.0,2,0,0,61.5
13485500,2,5.0,5.0,2,1,0,16.0
29104680,2,3.0,3.0,2,39,1,45.0
68428,2,4.5,4.5,2,9,6,29.0
12262741,2,5.0,5.0,2,1,0,136.5
7048800,2,3.5,3.5,2,0,3,93.5
6867,2,2.5,2.5,2,0,0,187.5
227865,2,4.0,4.0,2,0,0,14.0
1202,2,4.5,4.5,2,1,0,214.5
7090447,2,4.0,4.0,2,0,0,373.0
12294652,2,4.5,4.5,2,0,0,21.5
13423346,2,2.0,2.0,2,0,0,108.5
13531021,2,4.5,4.5,2,1,0,76.5
7094569,2,4.0,4.0,2,0,0,59.5
2865,2,4.5,4.5,2,0,1,53.0
7114761,2,2.0,2.0,2,0,0,56.0
23093367,2,4.0,4.0,2,1,0,10.0
8429687,2,3.5,3.5,2,1,0,61.5
17803,2,4.5,4.5,2,0,0,94.5
84119,2,3.0,3.0,2,0,0,138.0
289870,2,4.5,4.5,2,4,0,34.5
29008738,2,4.5,4.5,2,42,1,339.5
12119496,2,5.0,5.0,2,1,0,140.5
13536858,2,4.5,4.5,2,0,0,428.0
13521,2,2.0,2.0,2,0,0,141.0
8492825,2,3.0,3.0,2,0,0,22.0
22878615,2,2.5,2.5,2,0,0,238.0
23014603,2,5.0,5.0,2,16,6,160.0
22836957,2,2.5,2.5,2,0,2,43.0
20983362,2,4.5,4.5,2,5,0,14.0
13517455,2,5.0,5.0,2,0,0,51.0
26245850,2,4.0,4.0,2,2,0,172.5
28965131,2,5.0,5.0,2,0,0,41.0
8419429,2,3.0,3.0,2,0,0,65.0
6969361,2,2.5,2.5,2,0,0,13.0
11947156,2,2.0,2.0,2,0,0,182.5
28877,2,4.5,4.5,2,2,0,132.0
26156203,2,4.5,4.5,2,0,0,57.0
6990472,2,4.5,4.5,2,0,0,75.5
28960100,2,3.0,3.0,2,0,0,65.0
6933876,2,4.5,4.5,2,1,0,6.0
12967,2,5.0,5.0,2,21,5,94.0
13414446,2,5.0,5.0,2,0,0,62.0
21943246,2,3.0,3.0,2,1,0,52.5
1278752,2,4.5,4.5,2,0,0,37.0
13166684,2,3.5,3.5,2,0,0,57.5
13158800,2,4.0,4.0,2,0,0,16.0
13158378,2,4.5,4.5,2,0,0,33.0
7826117,2,3.5,3.5,2,0,0,111.0
7824322,2,4.5,4.5,2,1,0,51.0
13157,2,4.5,4.5,2,3,0,42.5
27252717,2,4.5,4.5,2,0,0,174.5
12844430,2,4.0,4.0,2,0,3,251.0
7801229,2,3.5,3.5,2,2,0,96.0
13138734,2,4.0,4.0,2,2,1,105.5
7445,2,4.0,4.0,2,0,0,47.5
13104080,2,4.5,4.5,2,0,0,75.5
12875258,2,4.5,4.5,2,0,0,332.0
27277165,2,4.0,4.0,2,20,8,267.0
8164566,2,5.0,5.0,2,1,0,23.0
776573,2,4.5,4.5,2,0,0,115.5
2802316,2,4.5,4.5,2,0,0,1.5
2800905,2,5.0,5.0,2,0,0,9.5
12935956,2,4.5,4.5,2,1,0,10.5
1295,2,5.0,5.0,2,0,0,7.0
7728889,2,4.0,4.0,2,0,0,191.0
76171,2,3.0,3.0,2,0,0,34.5
764347,2,4.0,4.0,2,0,1,38.0
12999306,2,2.5,2.5,2,0,0,192.0
27833670,2,5.0,5.0,2,1,0,11.0
76664,2,3.0,3.0,2,0,0,77.5
7686667,2,4.0,4.0,2,0,0,38.5
20820994,2,5.0,5.0,2,8,0,151.0
2213661,2,4.0,4.0,2,1,0,68.5
21823465,2,4.5,4.5,2,0,0,23.0
12781,2,4.5,4.5,2,0,0,53.5
13206760,2,4.5,4.5,2,0,0,398.0
28260587,2,5.0,5.0,2,3,0,226.0
22698568,2,4.0,4.0,2,2,0,242.5
8077372,2,4.0,4.0,2,0,0,18.0
28595941,2,4.5,4.5,2,1,0,83.0
12476820,2,5.0,5.0,2,4,0,183.0
21491731,2,3.0,3.0,2,0,0,9.0
7159515,2,4.5,4.5,2,1,1,94.0
22609317,2,4.0,4.0,2,2,0,126.0
13372690,2,5.0,5.0,2,1,0,52.5
12505,2,3.0,3.0,2,1,0,33.0
7981206,2,3.5,3.5,2,2,0,84.5
22571365,2,4.0,4.0,2,4,3,335.5
13362536,2,4.5,4.5,2,5,6,41.5
12963179,2,4.0,4.0,2,3,0,69.5
21535271,2,3.5,3.5,2,0,0,79.5
12600138,2,4.0,4.0,2,0,0,57.0
12609433,2,4.5,4.5,2,0,0,44.5
27071490,2,4.5,4.5,2,1,0,291.0
27126,2,3.5,3.5,2,0,2,24.5
7933292,2,2.5,2.5,2,0,0,212.0
13330761,2,4.0,4.0,2,0,0,293.0
27161156,2,3.5,3.5,2,11,0,707.5
27161189,2,4.5,4.5,2,0,0,10.5
28389305,2,4.0,4.0,2,0,0,44.5
12691,2,4.0,4.0,2,0,0,14.0
12716613,2,2.5,2.5,2,0,0,62.0
7877703,2,4.0,4.0,2,0,0,42.0
7261828,2,5.0,5.0,2,0,0,10.5
21787,2,3.5,3.5,2,8,0,7.5
7864437,2,4.5,4.5,2,0,0,69.5
27712,2,5.0,5.0,2,5,0,16.0
1,2,4.0,4.0,2,1,0,178.5
682761,2,4.5,4.5,2,1,1,37.5
18335634,2,4.5,4.5,2,1,0,2.0
4934,2,5.0,5.0,2,0,0,316.5
4929,2,4.0,4.0,2,10,4,166.5
18360128,2,5.0,5.0,2,0,0,68.5
4894,2,3.0,3.0,2,5,2,148.0
18342,2,5.0,5.0,2,0,0,144.0
48760,2,3.0,3.0,2,0,0,90.0
4865,2,4.5,4.5,2,0,0,14.0
4837032,2,2.5,2.5,2,2,0,229.5
16299,2,5.0,5.0,2,4,4,245.5
33133783,2,5.0,5.0,2,26,0,85.0
49750,2,4.5,4.5,2,0,0,25.5
33151805,2,4.5,4.5,2,2,0,94.5
47212,2,3.0,3.0,2,0,0,20.5
332613,2,4.5,4.5,2,0,0,75.0
18296030,2,4.0,4.0,2,9,0,266.0
18295852,2,3.5,3.5,2,1,0,497.5
18293427,2,4.5,4.5,2,0,0,75.5
46202,2,4.0,4.0,2,16,0,172.5
168668,2,4.5,4.5,2,0,0,242.5
33385229,2,4.0,4.0,2,413,1,463.0
1618,2,4.5,4.5,2,0,0,68.5
16158542,2,5.0,5.0,2,0,0,42.5
18246727,2,3.5,3.5,2,2,2,71.5
16113791,2,4.5,4.5,2,0,0,18.0
18641982,2,3.0,3.0,2,1,0,90.5
18635016,2,3.5,3.5,2,5,0,99.5
18631940,2,3.0,3.0,2,5,0,60.0
16081754,2,5.0,5.0,2,2,0,139.5
5326,2,5.0,5.0,2,0,0,12.0
32261,2,4.5,4.5,2,1,0,71.0
16101018,2,4.5,4.5,2,9,6,89.5
16101126,2,3.5,3.5,2,0,0,132.5
16104434,2,4.5,4.5,2,21,3,158.0
5215879,2,2.5,2.5,2,0,0,55.5
5043,2,4.5,4.5,2,0,0,41.0
51964,2,4.0,4.0,2,0,0,18.0
3243517,2,3.5,3.5,2,4,0,75.0
51741,2,2.5,2.5,2,0,0,26.0
51737,2,4.5,4.5,2,1,0,18.5
16138074,2,4.5,4.5,2,4,0,195.5
18467818,2,5.0,5.0,2,0,0,186.0
5107,2,4.0,4.0,2,0,0,15.5
5060378,2,5.0,5.0,2,0,0,145.0
16151178,2,4.0,4.0,2,0,0,144.5
459744,2,5.0,5.0,2,0,0,29.0
17061,2,3.5,3.5,2,0,0,50.0
2914097,2,3.5,3.5,2,0,1,177.0
17933565,2,4.0,4.0,2,1,0,269.0
39999,2,3.0,3.0,2,0,0,13.5
17340050,2,5.0,5.0,2,0,0,51.0
17364833,2,3.0,3.0,2,0,0,92.5
17378527,2,5.0,5.0,2,0,0,10.0
17407748,2,4.0,4.0,2,0,0,59.0
345627,2,4.5,4.5,2,0,0,29.0
38447,2,2.0,2.0,2,0,0,25.0
17457124,2,3.5,3.5,2,0,0,248.0
37743,2,3.5,3.5,2,0,0,45.0
17565845,2,3.5,3.5,2,4,0,685.5
17333319,2,4.0,4.0,2,0,0,112.5
3697927,2,3.5,3.5,2,0,0,71.5
3679,2,3.5,3.5,2,4,1,178.0
17910124,2,4.5,4.5,2,0,0,248.5
17617277,2,3.5,3.5,2,0,3,3.0
17860312,2,3.5,3.5,2,4,0,169.5
17860217,2,5.0,5.0,2,5,2,98.0
17849112,2,4.5,4.5,2,1,0,18.5
177395,2,4.0,4.0,2,0,0,77.5
17802724,2,4.0,4.0,2,0,0,28.5
17333880,2,4.5,4.5,2,1,0,167.0
40158,2,5.0,5.0,2,0,0,85.0
334176,2,4.5,4.5,2,0,0,20.5
17231,2,3.5,3.5,2,0,1,271.0
33540783,2,4.0,4.0,2,3,0,67.0
18211118,2,3.0,3.0,2,1,0,37.0
33676,2,4.5,4.5,2,0,0,46.0
44170,2,4.0,4.0,2,5,0,327.0
4407,2,5.0,5.0,2,0,0,24.5
33722,2,4.5,4.5,2,0,0,45.5
4374400,2,3.5,3.5,2,0,2,90.0
18159949,2,5.0,5.0,2,1,0,227.0
4268157,2,4.5,4.5,2,0,0,50.0
17235026,2,3.5,3.5,2,1,0,14.0
40440,2,3.0,3.0,2,0,0,65.0
17237214,2,4.0,4.0,2,0,0,122.0
3392089,2,4.5,4.5,2,0,0,29.0
1812457,2,1.5,1.5,2,0,0,13.5
17252200,2,4.0,4.0,2,0,0,154.5
17256348,2,3.0,3.0,2,0,0,73.0
3400816,2,4.0,4.0,2,0,0,53.0
4137,2,3.0,3.0,2,0,0,45.0
4071565,2,2.5,2.5,2,0,0,89.5
4067103,2,5.0,5.0,2,0,0,24.0
32075671,2,5.0,5.0,2,0,0,59.0
18652812,2,4.5,4.5,2,2,3,27.5
16068905,2,4.5,4.5,2,4,0,204.5
64216,2,3.5,3.5,2,0,0,15.5
14316,2,4.0,4.0,2,0,0,54.5
649514,2,4.5,4.5,2,3,0,110.0
144127,2,3.5,3.5,2,0,0,47.5
14497,2,3.5,3.5,2,0,0,31.5
6479259,2,4.0,4.0,2,0,0,204.5
30075802,2,5.0,5.0,2,0,0,41.0
645180,2,3.0,3.0,2,5,0,205.0
301082,2,4.0,4.0,2,0,0,146.0
6437061,2,2.5,2.5,2,0,0,115.0
20170404,2,4.5,4.5,2,0,0,18.5
6512154,2,3.5,3.5,2,0,0,102.5
14889780,2,5.0,5.0,2,0,0,28.5
14891,2,3.5,3.5,2,1,1,173.0
6393631,2,4.0,4.0,2,1,0,26.5
6388558,2,4.0,4.0,2,1,0,43.0
30249091,2,4.5,4.5,2,0,0,90.5
15196,2,5.0,5.0,2,8,0,139.0
15197,2,4.0,4.0,2,0,1,34.0
196613,2,1.5,1.5,2,0,0,60.0
19547856,2,4.0,4.0,2,0,0,141.5
6512140,2,3.0,3.0,2,0,0,299.0
6514,2,5.0,5.0,2,2,0,151.0
18660669,2,4.0,4.0,2,2,2,46.0
13641339,2,4.0,4.0,2,0,0,211.0
13579947,2,4.0,4.0,2,11,10,409.5
13590032,2,4.0,4.0,2,0,0,28.5
6751,2,3.0,3.0,2,0,0,599.0
29381926,2,4.0,4.0,2,23,0,407.0
29405105,2,2.5,2.5,2,3,0,102.0
13623777,2,4.0,4.0,2,0,0,27.5
20696006,2,4.5,4.5,2,0,0,227.5
136251,2,3.0,3.0,2,1,0,59.5
20685373,2,4.0,4.0,2,1,0,187.0
13642929,2,4.0,4.0,2,0,0,26.5
20421367,2,4.0,4.0,2,0,1,10.5
20658510,2,4.5,4.5,2,0,0,17.5
20639274,2,5.0,5.0,2,18,0,38.0
20588698,2,3.5,3.5,2,0,0,26.0
20581805,2,3.5,3.5,2,1,0,40.5
6600807,2,4.5,4.5,2,0,0,122.0
29844228,2,3.5,3.5,2,2,0,222.0
14050,2,4.5,4.5,2,0,0,51.5
140671,2,3.0,3.0,2,0,0,22.5
1421990,2,4.0,4.0,2,0,0,40.5
153025,2,4.0,4.0,2,0,0,27.0
30291914,2,4.5,4.5,2,5,0,98.5
19536001,2,4.0,4.0,2,2,0,43.0
5759,2,4.5,4.5,2,16,1,21.0
15839984,2,3.0,3.0,2,2,0,444.5
15844362,2,4.5,4.5,2,0,0,278.0
187811,2,4.0,4.0,2,1,0,218.5
15881,2,4.5,4.5,2,0,0,124.0
18775255,2,5.0,5.0,2,0,4,66.0
18774964,2,5.0,5.0,2,3,0,44.0
18773627,2,2.0,2.0,2,0,0,93.5
15937108,2,4.0,4.0,2,1,0,185.0
18746546,2,4.0,4.0,2,0,0,250.5
31554890,2,5.0,5.0,2,2,0,9.0
1953,2,3.0,3.0,2,0,0,19.5
567795,2,4.0,4.0,2,0,0,17.0
5664985,2,5.0,5.0,2,0,0,34.0
18705209,2,4.5,4.5,2,0,0,19.5
18693763,2,4.5,4.5,2,2,0,278.5
18693716,2,5.0,5.0,2,0,0,83.0
16044981,2,2.0,2.0,2,0,0,165.0
16045026,2,4.0,4.0,2,0,0,91.5
16045315,2,3.0,3.0,2,1,0,240.5
547094,2,4.5,4.5,2,0,0,47.0
5941033,2,3.0,3.0,2,0,0,123.5
15819028,2,4.0,4.0,2,0,0,64.5
15818107,2,4.5,4.5,2,0,0,2.5
15803757,2,4.0,4.0,2,1,0,67.5
19504931,2,5.0,5.0,2,0,1,122.0
19501,2,3.5,3.5,2,0,0,75.0
6334,2,3.5,3.5,2,0,0,145.0
19486412,2,4.5,4.5,2,2,1,82.5
156538,2,3.5,3.5,2,0,6,21.0
15704307,2,4.0,4.0,2,0,0,6.5
